country,year,iso_code,population,gdp,co2,co2_per_capita,consumption_co2,consumption_co2_per_capita,land_use_change_co2,land_use_change_co2_per_capita
Brunei,1990,BRN,261936,,5.456,20.828,3.979,15.19,1.155,4.411
Brunei,1991,BRN,269869,,7.211,26.719,4.861,18.013,1.097,4.065
Brunei,1992,BRN,277427,,6.885,24.816,5.157,18.589,1.309,4.717
Brunei,1993,BRN,284723,,6.357,22.327,5.379,18.892,1.344,4.719
Brunei,1994,BRN,291950,,5.553,19.02,5.269,18.048,1.254,4.294
Brunei,1995,BRN,299108,,5.825,19.476,5.27,17.619,1.028,3.435
Brunei,1996,BRN,306210,,5.879,19.198,5.979,19.525,1.248,4.077
Brunei,1997,BRN,313224,,6.087,19.434,4.433,14.152,1.412,4.508
Brunei,1998,BRN,320156,,5.595,17.477,5.436,16.979,1.978,6.179
Brunei,1999,BRN,327058,,5.978,18.278,4.413,13.492,0.995,3.041
Brunei,2000,BRN,333937,,5.329,15.957,3.52,10.54,1.026,3.073
Brunei,2001,BRN,340759,,5.19,15.23,3.461,10.156,0.994,2.917
Brunei,2002,BRN,347470,,4.67,13.44,3.438,9.894,0.972,2.798
Brunei,2003,BRN,354049,,5.598,15.811,5.405,15.267,1.063,3.002
Brunei,2004,BRN,360472,,5.641,15.648,5.346,14.829,0.79,2.193
Brunei,2005,BRN,366728,,5.429,14.803,5.088,13.875,0.705,1.922
Brunei,2006,BRN,372814,,7.144,19.162,6.102,16.367,1.003,2.69
Brunei,2007,BRN,378761,,8.077,21.324,7.047,18.606,1.173,3.096
Brunei,2008,BRN,384579,,9.166,23.833,7.704,20.032,1.611,4.189
Brunei,2009,BRN,390322,,7.745,19.842,6.458,16.545,1.881,4.82
Brunei,2010,BRN,396064,,8.017,20.243,6.558,16.559,1.491,3.765
Brunei,2011,BRN,401515,,9.555,23.798,8.751,21.795,1.75,4.358
Brunei,2012,BRN,406637,,9.5,23.362,9.054,22.267,1.921,4.724
Brunei,2013,BRN,411704,,7.626,18.523,8.567,20.809,1.11,2.697
Brunei,2014,BRN,416670,,8.831,21.194,8.692,20.86,2.331,5.595
Brunei,2015,BRN,421449,,6.933,16.451,7.552,17.919,1.528,3.626
Brunei,2016,BRN,426001,,7.633,17.918,7.054,16.558,1.297,3.046
Brunei,2017,BRN,430290,,9.309,21.635,8.4,19.522,1.943,4.516
Brunei,2018,BRN,434283,,9.344,21.517,9.38,21.599,1.385,3.189
Brunei,2019,BRN,438058,,10.733,24.501,10.024,22.883,1.427,3.258
Brunei,2020,BRN,441736,,11.102,25.132,10.401,23.545,1.399,3.166
Brunei,2021,BRN,445382,,11.302,25.376,9.683,21.74,1.279,2.871
Cambodia,1990,KHM,8910806,13119770624,1.26,0.141,1.854,0.208,68.433,7.68
Cambodia,1991,KHM,9259362,13798587392,1.304,0.141,1.928,0.208,50.882,5.495
Cambodia,1992,KHM,9718217,14439549952,1.348,0.139,2.023,0.208,43.58,4.484
Cambodia,1993,KHM,10243554,14667326464,1.385,0.135,1.983,0.194,40.133,3.918
Cambodia,1994,KHM,10636353,15501963264,1.482,0.139,2.121,0.199,40.089,3.769
Cambodia,1995,KHM,10919528,16125089792,1.555,0.142,2.064,0.189,35.202,3.224
Cambodia,1996,KHM,11182613,16613604352,1.631,0.146,2.343,0.21,30.948,2.768
Cambodia,1997,KHM,11431578,17142178816,1.552,0.136,2.284,0.2,34.954,3.058
Cambodia,1998,KHM,11669087,17586612224,1.963,0.168,2.846,0.244,33.74,2.891
Cambodia,1999,KHM,11899010,19228280832,1.894,0.159,2.726,0.229,46.683,3.923
Cambodia,2000,KHM,12118844,20435398656,1.975,0.163,4.868,0.402,53.903,4.448
Cambodia,2001,KHM,12338198,21587210240,2.25,0.182,5.613,0.455,52.021,4.216
Cambodia,2002,KHM,12561783,22474401792,2.206,0.176,7.109,0.566,49.747,3.96
Cambodia,2003,KHM,12787714,23833223168,2.378,0.186,6.404,0.501,53.558,4.188
Cambodia,2004,KHM,13016377,25705926656,2.444,0.188,7.902,0.607,55.38,4.255
Cambodia,2005,KHM,13246588,28474468352,2.774,0.209,9.656,0.729,36.548,2.759
Cambodia,2006,KHM,13477781,30776293376,2.997,0.222,10.64,0.789,28.005,2.078
Cambodia,2007,KHM,13714798,33022341120,3.471,0.253,11.168,0.814,26.297,1.917
